Name,ManaCost,Colors,ColorIdentity,Type,Category,CardType,IsLand,OracleText
Realm of Koh,0.0,,,Land,"Land, Token Generation",Land,true,"This land enters tapped unless you control a basic land. {T}: Add {B}. {3}{B}, {T}: Create a 1/1 colorless Spirit creature token with ""This token can't block or be blocked by non-Spirit creatures."""
Essence Backlash,4.0,R;U,R;U,Instant,"Instant, Removal",Instant,false,Counter target creature spell. Essence Backlash deals damage equal to that spell's power to its controller.
Tombstone Stairwell,4.0,B,B,World Enchantment,"Board Wipe, Enchantment, Token Generation",Enchantment,false,"Cumulative upkeep {1}{B} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) At the beginning of each upkeep, if this enchantment is on the battlefield, each player creates a 2/2 black Zombie creature token with haste named Tombspawn for each creature card in their graveyard. At the beginning of each end step and when this enchantment leaves the battlefield, destroy all tokens created with this enchantment. They can't be regenerated."
Throne of the Grim Captain // The Grim Captain,2.0,B,B,Legendary Artifact // Legendary Creature — Skeleton Spirit Pirate,"Artifact, Creature, Protection, Removal",Creature,false,"{T}: Mill two cards. Craft with a Dinosaur, a Merfolk, a Pirate, and a Vampire {4} ({4}, Exile this artifact, Exile the four from among permanents you control and/or cards in your graveyard: Return this card transformed under its owner's control. Craft only as a sorcery.) // Menace, trample, lifelink, hexproof Whenever The Grim Captain attacks, each opponent sacrifices a nonland permanent of their choice. Then you may put an exiled creature card used to craft The Grim Captain onto the battlefield under your control tapped and attacking."
March from Velis Vel,3.0,U,U,Sorcery,"Removal, Sorcery",Sorcery,false,Choose a nonbasic land type. Each land you control of that type becomes a copy of target creature you control until end of turn and gains haste until end of turn. Flashback {4}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Gutwrencher Oni,5.0,B,B,Creature — Demon Spirit,"Creature, Discard",Creature,false,"Trample At the beginning of your upkeep, discard a card if you don't control an Ogre."
Minister of Pain,3.0,B,B,Creature — Human Shaman,Creature,Creature,false,"Exploit (When this creature enters, you may sacrifice a creature.) When this creature exploits a creature, creatures your opponents control get -1/-1 until end of turn."
Meltdown,1.0,R,R,Sorcery,Sorcery,Sorcery,false,Destroy each artifact with mana value X or less.
Chittering Rats,3.0,B,B,Creature — Rat,Creature,Creature,false,"When this creature enters, target opponent puts a card from their hand on top of their library."
Path of Peril,3.0,B,B,Sorcery,"Board Wipe, Sorcery",Sorcery,false,"Cleave {4}{W}{B} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.) Destroy all creatures [with mana value 2 or less]."
Sword of Truth and Justice,3.0,,,Artifact — Equipment,"Artifact, Protection",Artifact,false,"Equipped creature gets +2/+2 and has protection from white and from blue. Whenever equipped creature deals combat damage to a player, put a +1/+1 counter on a creature you control, then proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.) Equip {2}"
Stitcher's Supplier,1.0,B,B,Creature — Zombie,Creature,Creature,false,"When this creature enters or dies, mill three cards. (Put the top three cards of your library into your graveyard.)"
Vow of Lightning,3.0,R,R,Enchantment — Aura,"Enchantment, Stax",Enchantment,false,"Enchant creature Enchanted creature gets +2/+2, has first strike, and can't attack you or planeswalkers you control."
Afterlife,3.0,W,W,Instant,"Instant, Removal, Token Generation",Instant,false,Destroy target creature. It can't be regenerated. Its controller creates a 1/1 white Spirit creature token with flying.
Attentive Skywarden,3.0,W,W,Creature — Phyrexian Kor,"Creature, Removal",Creature,false,"Flying Whenever this creature deals combat damage to a player or battle, transform up to one target Incubator token you control."
Ingenious Thief,2.0,U,U,Creature — Human Rogue,Creature,Creature,false,"Flying When this creature enters, look at target player's hand."
Waker of the Wilds,4.0,G,G,Creature — Merfolk Shaman,Creature,Creature,false,{X}{G}{G}: Put X +1/+1 counters on target land you control. That land becomes a 0/0 Elemental creature with haste. It's still a land.
Bearer of the Heavens,8.0,R,R,Creature — Giant,"Board Wipe, Creature",Creature,false,"When this creature dies, destroy all permanents at the beginning of the next end step."
Empowered Autogenerator,4.0,,,Artifact,Artifact,Artifact,false,"This artifact enters tapped. {T}: Put a charge counter on this artifact. Add X mana of any one color, where X is the number of charge counters on this artifact."
Havoc Devils,4.0,R,R,Creature — Devil,Creature,Creature,false,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Chaotic Strike,2.0,R,R,Instant,"Card Draw, Instant",Instant,false,"Cast this spell only during combat after blockers are declared. Flip a coin. If you win the flip, target creature gets +1/+1 until end of turn. Draw a card."
Deepfathom Skulker,6.0,,,Creature — Eldrazi,"Card Draw, Creature, Removal",Creature,false,"Devoid (This card has no color.) Whenever a creature you control deals combat damage to a player, you may draw a card. {3}{C}: Target creature can't be blocked this turn. ({C} represents colorless mana.)"
Keldon Overseer,3.0,R,R,Creature — Human Warrior,Creature,Creature,false,"Kicker {3}{R} (You may pay an additional {3}{R} as you cast this spell.) Haste When this creature enters, if it was kicked, gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn."
Dispense Justice,3.0,W,W,Instant,"Instant, Removal",Instant,false,Target player sacrifices an attacking creature of their choice. Metalcraft — That player sacrifices two attacking creatures of their choice instead if you control three or more artifacts.
Groundskeeper,1.0,G,G,Creature — Human Druid,"Creature, Recursion",Creature,false,{1}{G}: Return target basic land card from your graveyard to your hand.
Ensnaring Bridge,3.0,,,Artifact,"Artifact, Stax",Artifact,false,Creatures with power greater than the number of cards in your hand can't attack.
Stirge,1.0,B,B,Creature — Insect Bat,"Card Draw, Creature",Creature,false,"Flying This creature can't block. Blood Drain — {1}{B}, Pay 1 life, Sacrifice this creature: Draw a card."
Sigiled Paladin,2.0,W,W,Creature — Human Knight,Creature,Creature,false,"First strike Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)"
Hemlock Vial,2.0,B,B,Artifact,"Artifact, Card Draw, Life Gain",Artifact,false,"When this artifact enters, you draw a card and you lose 1 life. {B}, {T}, Sacrifice this artifact: Each equipped creature and Equipment you control gains deathtouch until end of turn."
Elderfang Ritualist,3.0,B,B,Creature — Elf Cleric,Creature,Creature,false,"When this creature dies, return another target Elf card from your graveyard to your hand."
Skyrider Trainee,5.0,W,W,Creature — Human Soldier,Creature,Creature,false,This creature has flying as long as it's enchanted.
Back from the Brink,6.0,U,U,Enchantment,"Enchantment, Token Generation",Enchantment,false,Exile a creature card from your graveyard and pay its mana cost: Create a token that's a copy of that card. Activate only as a sorcery.
"Djeru, With Eyes Open",5.0,W,W,Legendary Creature — Human Warrior,"Creature, Tutor",Creature,false,"Vigilance When Djeru enters, you may search your library for a planeswalker card, reveal it, put it into your hand, then shuffle. If a source would deal damage to a planeswalker you control, prevent 1 of that damage."
Scrapyard Steelbreaker,4.0,R,R,Artifact Creature — Human Warrior,"Artifact, Creature",Creature,false,"{1}, Sacrifice another artifact: This creature gets +2/+1 until end of turn."
Battle Brawler,2.0,B,B,Creature — Orc Warrior,Creature,Creature,false,"As long as you control a red or white permanent, this creature gets +1/+0 and has first strike."
Caparocti Sunborn,4.0,R;W,R;W,Legendary Creature — Human Soldier,Creature,Creature,false,"Whenever Caparocti Sunborn attacks, you may tap two untapped artifacts and/or creatures you control. If you do, discover 3. (Exile cards from the top of your library until you exile a nonland card with mana value 3 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)"
Fyndhorn Brownie,3.0,G,G,Creature — Ouphe,Creature,Creature,false,"{2}{G}, {T}: Untap target creature."
Root Spider,4.0,G,G,Creature — Spider,Creature,Creature,false,"Whenever this creature blocks, it gets +1/+0 and gains first strike until end of turn."
Predatory Sliver,2.0,G,G,Creature — Sliver,Creature,Creature,false,Sliver creatures you control get +1/+1.
Death Ward,1.0,W,W,Instant,Instant,Instant,false,Regenerate target creature.
Kraul Warrior,2.0,G,G,Creature — Insect Warrior,Creature,Creature,false,{5}{G}: This creature gets +3/+3 until end of turn.
Sentry Oak,5.0,W,W,Creature — Treefolk Warrior,Creature,Creature,false,"Defender At the beginning of combat on your turn, you may clash with an opponent. If you win, this creature gets +2/+0 and loses defender until end of turn. (Each clashing player reveals the top card of their library, then puts that card on their choice of the top or bottom. A player wins if their card had a greater mana value.)"
Waterbender's Restoration,2.0,U,U,Instant — Lesson,"Instant, Removal",Instant,false,"As an additional cost to cast this spell, waterbend {X}. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.) Exile X target creatures you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step."
Cathodion,3.0,,,Artifact Creature — Construct,"Artifact, Creature, Ramp",Creature,false,"When this creature dies, add {C}{C}{C}."
Overkill,3.0,B,B,Instant,Instant,Instant,false,Target creature gets -0/-9999 until end of turn.
Canopy Spider,2.0,G,G,Creature — Spider,Creature,Creature,false,Reach (This creature can block creatures with flying.)
Spare Supplies,2.0,,,Artifact,"Artifact, Card Draw",Artifact,false,"This artifact enters tapped. When this artifact enters, draw a card. {2}, {T}, Sacrifice this artifact: Draw a card."
Serene Master,2.0,W,W,Creature — Human Monk,Creature,Creature,false,"Whenever this creature blocks, exchange its power and the power of target creature it's blocking until end of combat."
Hunting Pack,7.0,G,G,Instant,"Instant, Token Generation",Instant,false,"Create a 4/4 green Beast creature token. Storm (When you cast this spell, copy it for each spell cast before it this turn.)"
"Astarion, the Decadent",6.0,B;W,B;W,Legendary Creature — Vampire Elf Rogue,"Creature, Life Gain",Creature,false,"Deathtouch, lifelink At the beginning of your end step, choose one — • Feed — Target opponent loses life equal to the amount of life they lost this turn. • Friends — You gain life equal to the amount of life you gained this turn."
Cavalry Pegasus,2.0,W,W,Creature — Pegasus,Creature,Creature,false,"Flying Whenever this creature attacks, each attacking Human gains flying until end of turn."
Secure the Wastes,1.0,W,W,Instant,"Instant, Token Generation",Instant,false,Create X 1/1 white Warrior creature tokens.
Hit the Mother Lode,7.0,R,R,Sorcery,"Sorcery, Token Generation",Sorcery,false,"Discover 10. If the discovered card's mana value is less than 10, create a number of tapped Treasure tokens equal to the difference. (To discover 10, exile cards from the top of your library until you exile a nonland card with mana value 10 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)"
Scythe Tiger,1.0,G,G,Creature — Cat,Creature,Creature,false,"Shroud (This creature can't be the target of spells or abilities.) When this creature enters, sacrifice it unless you sacrifice a land."
Ox Drover,4.0,W,W,Creature — Human Peasant,"Card Draw, Creature, Stax, Token Generation",Creature,false,"Vigilance This creature can't be blocked by Oxen. Whenever this creature enters or attacks, target opponent creates a 2/4 white Ox creature token and you draw a card."
Realm-Scorcher Hellkite,6.0,R,R,Creature — Dragon,"Creature, Removal",Creature,false,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.) Flying, haste When this creature enters, if it was bargained, add four mana in any combination of colors. {1}{R}: This creature deals 1 damage to any target."
Waxmane Baku,3.0,W,W,Creature — Spirit,Creature,Creature,false,"Whenever you cast a Spirit or Arcane spell, you may put a ki counter on this creature. {1}, Remove X ki counters from this creature: Tap X target creatures."
Flayed One,3.0,B,B,Artifact Creature — Necron,"Artifact, Creature",Creature,false,"Lifelink Flesh Flayer — When this creature enters, mill three cards."
Shivan Oasis,0.0,,,Land,Land,Land,true,This land enters tapped. {T}: Add {R} or {G}.
Raphael's Technique,6.0,R,R,Instant,"Card Draw, Discard, Instant",Instant,false,Sneak {2}{R} (You may cast this spell for {2}{R} if you also return an unblocked attacker you control to hand during the declare blockers step.) Each player may discard their hand and draw seven cards.
Acererak the Archlich,3.0,B,B,Legendary Creature — Zombie Wizard,"Creature, Token Generation",Creature,false,"When Acererak enters, if you haven't completed Tomb of Annihilation, return Acererak to its owner's hand and venture into the dungeon. Whenever Acererak attacks, for each opponent, you create a 2/2 black Zombie creature token unless that player sacrifices a creature of their choice."
Thraxodemon,2.0,B,B,Creature — Demon,"Card Draw, Creature",Creature,false,"{3}, {T}, Sacrifice another creature or artifact: Draw a card."
Nine-Fingers Keene,4.0,B;G;U,B;G;U,Legendary Creature — Human Rogue,"Creature, Protection",Creature,false,"Menace Ward—Pay 9 life. Whenever Nine-Fingers Keene deals combat damage to a player, look at the top nine cards of your library. You may put a Gate card from among them onto the battlefield. Then if you control nine or more Gates, put the rest into your hand. Otherwise, put the rest on the bottom of your library in a random order."
Disturbed Burial,2.0,B,B,Sorcery,"Recursion, Sorcery",Sorcery,false,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.) Return target creature card from your graveyard to your hand."
Doctor Doom,6.0,B,B,Legendary Creature — Human Scientist Villain,"Card Draw, Creature, Protection, Token Generation",Creature,false,"When Doctor Doom enters, create two 3/3 colorless Robot Villain artifact creature tokens named Doombot. As long as you control an artifact creature or a Plan, Doctor Doom has indestructible. At the beginning of your end step, you draw a card and lose 1 life."
Cabal Slaver,3.0,B,B,Creature — Human Cleric,"Creature, Discard",Creature,false,"Whenever a Goblin deals combat damage to a player, that player discards a card."
Walking Atlas,2.0,,,Artifact Creature — Construct,"Artifact, Creature",Creature,false,{T}: You may put a land card from your hand onto the battlefield.
Experimental Overload,4.0,R;U,R;U,Sorcery,"Sorcery, Token Generation",Sorcery,false,"Create an X/X blue and red Weird creature token, where X is the number of instant and sorcery cards in your graveyard. Then you may return an instant or sorcery card from your graveyard to your hand. Exile Experimental Overload."
Sickleslicer,3.0,,,Artifact — Equipment,"Artifact, Token Generation",Artifact,false,"Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this to it.) Equipped creature gets +2/+2. Equip {4}"
Anurid Scavenger,3.0,G,G,Creature — Frog Beast,"Creature, Protection",Creature,false,"Protection from black At the beginning of your upkeep, sacrifice this creature unless you put a card from your graveyard on the bottom of your library."
Confounding Conundrum,2.0,U,U,Enchantment,"Card Draw, Enchantment",Enchantment,false,"When this enchantment enters, draw a card. Whenever a land an opponent controls enters, if that player had another land enter the battlefield under their control this turn, they return a land they control to its owner's hand."
Daring Escape,1.0,R,R,Instant,Instant,Instant,false,Target creature gets +1/+0 and gains first strike until end of turn. Scry 1.
Deadlock Trap,3.0,,,Artifact,"Artifact, Stax",Artifact,false,"This artifact enters tapped. When this artifact enters, you get {E}{E} (two energy counters). {T}, Pay {E}: Tap target creature or planeswalker. Its activated abilities can't be activated this turn."
Craw Giant,7.0,G,G,Creature — Giant,Creature,Creature,false,"Trample Rampage 2 (Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.)"
Accumulated Knowledge,2.0,U,U,Instant,"Card Draw, Instant",Instant,false,"Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards."
First-Sphere Gargantua,6.0,B,B,Creature — Phyrexian Horror,"Card Draw, Creature, Life Gain",Creature,false,"When this creature enters, you draw a card and you lose 1 life. Unearth {2}{B} ({2}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Mycosynth Wellspring,2.0,,,Artifact,"Artifact, Tutor",Artifact,false,"When this artifact enters or is put into a graveyard from the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle."
The Wanderer,4.0,W,W,Legendary Planeswalker,"Planeswalker, Removal",Planeswalker,false,Prevent all noncombat damage that would be dealt to you and other permanents you control. −2: Exile target creature with power 4 or greater.
Origin of Metalbending,2.0,G,G,Instant — Lesson,"Instant, Protection, Removal",Instant,false,"Choose one — • Destroy target artifact or enchantment. • Put a +1/+1 counter on target creature you control. It gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
"Nissa, Steward of Elements",2.0,G;U,G;U,Legendary Planeswalker — Nissa,Planeswalker,Planeswalker,false,"+2: Scry 2. 0: Look at the top card of your library. If it's a land card or a creature card with mana value less than or equal to the number of loyalty counters on Nissa, you may put that card onto the battlefield. −6: Untap up to two target lands you control. They become 5/5 Elemental creatures with flying and haste until end of turn. They're still lands."
Thunderbreak Regent,4.0,R,R,Creature — Dragon,"Creature, Removal",Creature,false,"Flying Whenever a Dragon you control becomes the target of a spell or ability an opponent controls, this creature deals 3 damage to that player."
Far Traveler,3.0,W,W,Legendary Enchantment — Background,"Enchantment, Removal",Enchantment,false,"Commander creatures you own have ""At the beginning of your end step, exile up to one target tapped creature you control, then return it to the battlefield under its owner's control."""
Village Elder,1.0,G,G,Creature — Human Druid,Creature,Creature,false,"{G}, {T}, Sacrifice a Forest: Regenerate target creature."
Urborg Lhurgoyf,2.0,G,G,Creature — Lhurgoyf,Creature,Creature,false,"Kicker {U} and/or {B} (You may pay an additional {U} and/or {B} as you cast this spell.) As this creature enters, mill three cards for each time it was kicked. Urborg Lhurgoyf's power is equal to the number of creature cards in your graveyard and its toughness is equal to that number plus 1."
City of Shadows,0.0,,,Land,Land,Land,true,"{T}, Exile a creature you control: Put a storage counter on this land. {T}: Add {C} for each storage counter on this land."
Blood Pact,3.0,B,B,Instant,"Card Draw, Instant",Instant,false,Target player draws two cards and loses 2 life.
Blessed Wine,2.0,W,W,Instant,"Card Draw, Instant, Life Gain",Instant,false,You gain 1 life. Draw a card at the beginning of the next turn's upkeep.
Insidious Will,4.0,U,U,Instant,"Counterspell, Instant",Instant,false,Choose one — • Counter target spell. • You may choose new targets for target spell. • Copy target instant or sorcery spell. You may choose new targets for the copy.
The Three Seasons,2.0,G;U,G;U,Enchantment — Saga,"Card Draw, Enchantment",Enchantment,false,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Mill three cards. II — Return up to two target snow permanent cards from your graveyard to your hand. III — Choose three cards in each graveyard. Their owners shuffle those cards into their libraries."
Leather Armor,1.0,,,Artifact — Equipment,"Artifact, Protection",Artifact,false,"Equipped creature gets +0/+1 and has ward {1}. (Whenever equipped creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.) Equip {0}. Activate only once each turn."
Plant a Sapling // Fully-Grown Treefolk,1.0,G,G,Sorcery // Creature — Treefolk,"Creature, Sorcery, Stax, Tutor",Creature,false,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle this spell into its owner's library transformed. (For playtesting purposes, put it into its sleeve upside down.) // (You can't cast this face unless it's been transformed by the front face.) Fully-Grown Treefolk's power and toughness are each equal to the number of lands you control."
Circle of Protection: Red,2.0,W,W,Enchantment,Enchantment,Enchantment,false,"{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage."
Reverse Polarity,2.0,W,W,Instant,"Instant, Life Gain",Instant,false,"You gain X life, where X is twice the damage dealt to you so far this turn by artifacts."
Uktabi Orangutan,3.0,G,G,Creature — Ape,"Creature, Removal",Creature,false,"When this creature enters, destroy target artifact."
Voracious Vermin,3.0,B,B,Creature — Rat,"Creature, Token Generation",Creature,false,"When this creature enters, create a 1/1 black Rat creature token with ""This token can't block."" Whenever another creature you control dies, put a +1/+1 counter on this creature."
Dreadmaw's Ire,1.0,R,R,Instant,"Instant, Removal",Instant,false,"Until end of turn, target attacking creature gets +2/+2 and gains trample and ""Whenever this creature deals combat damage to a player, destroy target artifact that player controls."""
The Cruelty of Gix,5.0,B,B,Enchantment — Saga,"Card Draw, Discard, Enchantment, Tutor",Enchantment,false,"Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don't trigger. Sacrifice after III.) I — Target opponent reveals their hand. You choose a creature or planeswalker card from it. That player discards that card. II — Search your library for a card, put that card into your hand, then shuffle. You lose 3 life. III — Put target creature card from a graveyard onto the battlefield under your control."
Excavation Technique,4.0,W,W,Sorcery,"Removal, Sorcery, Token Generation",Sorcery,false,"Demonstrate (When you cast this spell, you may copy it. If you do, choose an opponent to also copy it. Players may choose new targets for their copies.) Destroy target nonland permanent. Its controller creates two Treasure tokens."
Bastion Inventor,6.0,U,U,Creature — Vedalken Artificer,"Creature, Protection, Stax",Creature,false,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.) Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Assault Griffin,4.0,W,W,Creature — Griffin,Creature,Creature,false,Flying
Appetite for Brains,1.0,B,B,Sorcery,"Removal, Sorcery",Sorcery,false,Target opponent reveals their hand. You choose a card from it with mana value 4 or greater and exile that card.
Greenhilt Trainee,4.0,G,G,Creature — Elf Warrior,Creature,Creature,false,{T}: Target creature gets +4/+4 until end of turn. Activate only if this creature's power is 4 or greater.
Chromatic Orrery,7.0,,,Legendary Artifact,"Artifact, Card Draw, Ramp",Artifact,false,"You may spend mana as though it were mana of any color. {T}: Add {C}{C}{C}{C}{C}. {5}, {T}: Draw a card for each color among permanents you control."
Fan Favorite,4.0,B,B,Creature — Human Rogue,Creature,Creature,false,Assist (Another player can pay up to {3} of this spell's cost.) {2}: This creature gets +1/+1 until end of turn. Any player may activate this ability.
Champion's Helm,3.0,,,Artifact — Equipment,"Artifact, Protection",Artifact,false,"Equipped creature gets +2/+2. As long as equipped creature is legendary, it has hexproof. (It can't be the target of spells or abilities your opponents control.) Equip {1}"
Kitesail,2.0,,,Artifact — Equipment,Artifact,Artifact,false,Equipped creature gets +1/+0 and has flying. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
Nexus of Becoming,6.0,,,Artifact,"Artifact, Card Draw, Token Generation",Artifact,false,"At the beginning of combat on your turn, draw a card. Then you may exile an artifact or creature card from your hand. If you do, create a token that's a copy of the exiled card, except it's a 3/3 Golem artifact creature in addition to its other types."
Organ Grinder,3.0,B,B,Creature — Zombie,"Creature, Removal",Creature,false,"{T}, Exile three cards from your graveyard: Target player loses 3 life."
Ignis Scientia,3.0,G;U,G;U,Legendary Creature — Human Advisor,"Creature, Removal, Token Generation",Creature,false,"When Ignis Scientia enters, look at the top six cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order. I've Come Up with a New Recipe! — {1}{G}{U}, {T}: Exile target card from a graveyard. If a creature card was exiled this way, create a Food token."
Griffin Sentinel,3.0,W,W,Creature — Griffin,Creature,Creature,false,Flying Vigilance (Attacking doesn't cause this creature to tap.)
Black Market Connections,3.0,B,B,Enchantment,"Card Draw, Enchantment, Ramp, Token Generation",Enchantment,false,"At the beginning of your first main phase, choose one or more — • Sell Contraband — Create a Treasure token. You lose 1 life. • Buy Information — Draw a card. You lose 2 life. • Hire a Mercenary — Create a 3/2 colorless Shapeshifter creature token with changeling. You lose 3 life. (It is every creature type.)"
Chariot of Victory,3.0,,,Artifact — Equipment,Artifact,Artifact,false,"Equipped creature has first strike, trample, and haste. Equip {1}"
Weapon Surge,1.0,R,R,Instant,Instant,Instant,false,"Target creature you control gets +1/+0 and gains first strike until end of turn. Overload {1}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Deathbloom Ritualist,5.0,B;G,B;G,Creature — Elf Warlock,Creature,Creature,false,"{T}: Add X mana of any one color, where X is the number of creature cards in your graveyard."
Ransack the Lab,2.0,B,B,Sorcery,Sorcery,Sorcery,false,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.
Curious Cadaver,4.0,B;U,B;U,Creature — Zombie Detective,Creature,Creature,false,"Flying When you sacrifice a Clue, return this card from your graveyard to your hand."
Woodland Sleuth,4.0,G,G,Creature — Human Scout,Creature,Creature,false,"Morbid — When this creature enters, if a creature died this turn, return a creature card at random from your graveyard to your hand."
Sakura-Tribe Elder,2.0,G,G,Creature — Snake Shaman,"Creature, Tutor",Creature,false,"Sacrifice this creature: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Thundering Tanadon,6.0,G,G,Artifact Creature — Phyrexian Beast,"Artifact, Creature",Creature,false,({G/P} can be paid with either {G} or 2 life.) Trample
Case of the Uneaten Feast,1.0,W,W,Enchantment — Case,"Enchantment, Life Gain",Enchantment,false,"Whenever a creature you control enters, you gain 1 life. To solve — You've gained 5 or more life this turn. (If unsolved, solve at the beginning of your end step.) Solved — Sacrifice this Case: Creature cards in your graveyard gain ""You may cast this card from your graveyard"" until end of turn."
Seat of the Synod,0.0,,,Artifact Land,"Artifact, Ramp",Artifact,false,{T}: Add {U}.
Vermin Gorger,2.0,B,B,Creature — Vampire,"Creature, Life Gain",Creature,false,"{T}, Sacrifice another creature: Each opponent loses 2 life and you gain 2 life."
Tsabo Tavoc,7.0,B;R,B;R,Legendary Creature — Phyrexian Horror,"Creature, Protection, Removal",Creature,false,"First strike, protection from legendary creatures {B}{B}, {T}: Destroy target legendary creature. It can't be regenerated."
Insatiable Harpy,4.0,B,B,Creature — Harpy,Creature,Creature,false,"Flying, lifelink"
Breaker of Creation,8.0,,,Creature — Eldrazi,"Creature, Life Gain, Protection",Creature,false,"When you cast this spell, you gain 1 life for each colorless permanent you control. Hexproof from each color Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.)"
Necropolis Fiend,9.0,B,B,Creature — Demon,"Creature, Removal",Creature,false,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.) Flying {X}, {T}, Exile X cards from your graveyard: Target creature gets -X/-X until end of turn."
Prismatic Vista,0.0,,,Land,"Land, Tutor",Land,true,"{T}, Pay 1 life, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield, then shuffle."
"Phenax, God of Deception",5.0,B;U,B;U,Legendary Enchantment Creature — God,"Creature, Enchantment, Protection",Creature,false,"Indestructible As long as your devotion to blue and black is less than seven, Phenax isn't a creature. Creatures you control have ""{T}: Target player mills X cards, where X is this creature's toughness."""
Windreader Sphinx,7.0,U,U,Creature — Sphinx,"Card Draw, Creature",Creature,false,"Flying Whenever a creature with flying attacks, you may draw a card."
Emissary of Sunrise,3.0,W,W,Creature — Human Cleric,Creature,Creature,false,"First strike When this creature enters, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Galvanic Relay,3.0,R,R,Sorcery,Sorcery,Sorcery,false,"Exile the top card of your library. During your next turn, you may play that card. Storm (When you cast this spell, copy it for each spell cast before it this turn.)"
Sly Instigator,4.0,U,U,Creature — Human Wizard,"Creature, Stax",Creature,false,"{U}, {T}: Until your next turn, target creature an opponent controls can't be blocked. Goad that creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)"
Root Elemental,6.0,G,G,Creature — Elemental,Creature,Creature,false,"Morph {5}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When this creature is turned face up, you may put a creature card from your hand onto the battlefield."
Balthor the Defiled,4.0,B,B,Legendary Creature — Zombie Dwarf,Creature,Creature,false,"Minion creatures get +1/+1. {B}{B}{B}, Exile Balthor: Each player returns all black and all red creature cards from their graveyard to the battlefield."
Soul-Strike Technique,2.0,W,W,Enchantment — Aura,Enchantment,Enchantment,false,"Enchant creature Enchanted creature gets +1/+1 and has vigilance. When enchanted creature dies, manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
Dread Summons,2.0,B,B,Sorcery,"Sorcery, Token Generation",Sorcery,false,"Each player mills X cards. For each creature card put into a graveyard this way, you create a tapped 2/2 black Zombie creature token. (To mill a card, a player puts the top card of their library into their graveyard.)"
Thief of Blood,6.0,B,B,Creature — Vampire,Creature,Creature,false,"Flying As this creature enters, remove all counters from all permanents. This creature enters with a +1/+1 counter on it for each counter removed this way."
Blessing of the Nephilim,1.0,W,W,Enchantment — Aura,Enchantment,Enchantment,false,Enchant creature Enchanted creature gets +1/+1 for each of its colors.
Nyxborn Seaguard,4.0,U,U,Enchantment Creature — Merfolk Soldier,"Creature, Enchantment",Creature,false,
Sentinel Sliver,2.0,W,W,Creature — Sliver,Creature,Creature,false,Sliver creatures you control have vigilance. (Attacking doesn't cause them to tap.)
